row_id;year_mid;Newbmag;bmag;vmag;vmagold;bmagerr;vmagerr;color_term;ut_start;jd_start;jd_mid;exptime;annular_bin;raj2000;dej2000;PHASE
1119;1962.66509169;10.9038;10.9038;10.5128;10.5128;0.269037;0.359866;0.719618;08/31/62 09:56 PM;2437908.41435;2437908.42474;1800;8;298.638314938;33.0012342787;#WERT!
135;1936.46392712;10.9367;10.9367;10.5457;10.5457;0.269151;0.382337;0.783505;06/18/36 10:31 PM;2428338.43865;2428338.44938;1800;7;298.639128609;33.0016396495;#WERT!
1091;1960.85287855;11.1281;11.1281;10.7371;10.7371;0.269394;0.4069;0.857532;11/08/60 12:00 AM;2437247;2437246.51389;2400;6;298.638989435;33.0015479527;#WERT!
642;1952.33266909;10.9545;10.9545;10.5635;10.5635;0.269818;0.351299;0.694575;05/01/52 11:50 PM;2434134.49353;2434134.50738;2400;6;298.639419487;33.0014197474;#WERT!
485;1948.57902596;10.8277;10.8277;10.4367;10.4367;0.269833;0.520512;1.26172;07/30/48 11:29 PM;2432763.47884;2432763.48923;1800;6;298.638993799;33.0012665104;#WERT!
1121;1962.665232;10.8125;10.8125;10.4215;10.4215;0.270186;0.353939;0.700968;08/31/62 11:10 PM;2437908.4656;2437908.47599;1800;8;298.638241423;33.0010379743;#WERT!
693;1953.61367015;10883;10.883;10.492;10492;0.270353;0.370593;0.747014;08/12/53 09:06 PM;2434602.37917;2434602.39302;2400;6;298.639150951;33.0013153209;#WERT!
489;1948.57618087;11.0372;11.0372;10.6462;10.6462;0.270389;0.511409;1.22445;07/29/48 10:33 PM;2432762.43968;2432762.45006;1800;6;298.639437923;33.0015523564;#WERT!
1140;1962.73611746;11.4865;11.4865;11.0955;11.0955;0.270507;0.344666;0.675397;09/26/62 08:33 PM;2437934.35652;2437934.3669;1800;8;298.639353281;33.0014408059;#WERT!
585;1950.71145946;10.9536;10.9536;10.5626;10.5626;0.270639;0.506293;1.20391;09/17/50 08:14 PM;2433542.34325;2433542.36057;2400;6;298.639651706;33.0014355156;#WERT!
843;1954.89256788;10.7754;10.7754;10.3844;10.3844;0.270903;0.356859;0.707459;11/23/54 12:00 AM;2435071;2435069.51042;1800;6;298.638867238;33.0010435428;#WERT!
917;1955.71118526;10.9183;10.9183;10.5273;10.5273;0.27112;0.368558;0.739635;09/18/55 12:00 AM;2435369;2435368.51042;1800;6;298.638942593;33.0011427494;#WERT!
658;1952.58178833;11.06;11.06;10.669;10669;0.271143;0.360714;0.717594;07/31/52 11:37 PM;2434225.48434;2434225.49819;2400;6;298.639227276;33.0013942887;#WERT!
1092;1960.85287855;11.0984;11.0984;10.7074;10.7074;0.271754;0.409889;0.86201;11/08/60 12:00 AM;2437247;2437246.51389;2400;6;298.63894351;33.0016385972;#WERT!
968;1955.77141798;10.9505;10.9505;10.5595;10.5595;0.271944;0.378715;0.767095;10/10/55 12:00 AM;2435391;2435390.51042;1800;6;298.638973127;33.0013701198;#WERT!
1018;1955.94116473;11.4212;11.4212;11.0302;11.0302;0.271986;0.355378;0.701142;12/11/55 12:00 AM;2435453;2435452.51042;1800;6;298.639208777;33.0012810419;#WERT!
841;1954.89256788;10.7307;10.7307;10.3397;10.3397;0.272117;0.359166;0.711276;11/23/54 12:00 AM;2435071;2435069.51042;1800;6;298.638902753;33.0012640595;#WERT!
1122;1962.66516752;10.9293;10.9293;10.5383;10.5383;0.27214;0.374133;0.753423;08/31/62 10:36 PM;2437908.44205;2437908.45244;1800;8;298.638175651;33.0010021449;#WERT!
1130;1962.66792825;10.8163;10.8163;10.4253;10.4253;0.27217;0.387979;0.793929;09/01/62 10:48 PM;2437909.45041;2437909.46079;1800;8;298.638311987;33.0011406251;#WERT!
42;1928.76067765;10.9884;10.9884;10.5974;10.5974;0.272398;0.417241;0.884043;10/04/28 06:50 PM;2425524.28485;2425524.83751;14400;2;298.63867217;33.0011191736;#WERT!
267;1937.73682996;11.1119;11.1119;10.7209;10.7209;0.272574;0.377531;0.762334;09/26/37 08:48 PM;2428803.36675;2428803.37714;1800;7;298.639601167;33.0013325748;#WERT!
