bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.2234,11.9494,0.4818313085,0.4818313085
12.2145,11.9405,0.5083847839,0.5083847839
12.1528,11.8788,0.5083847839,0.5083847839
12.2713,11.9973,0.0180989841,0.0180989841
12.2224,11.9484,0.0180989841,0.0180989841
12.2972,12.0232,0.5138966342,0.5138966342
12.3311,12.0571,0.5138966342,0.5138966342
12.1852,11.9112,0.0024746067,0.0024746067
12.2136,11.9396,0.0024746067,0.0024746067
12.3664,12.0924,0.9237602073,0.9237602073
12.3691,12.0951,0.9237602073,0.9237602073
12.1967,11.9227,0.4217785301,0.4217785301
12.1863,11.9123,0.4217785301,0.4217785301
12.225,11.951,0.9734913366,0.9734913366
12.2877,12.0137,0.9734913366,0.9734913366
12.4684,12.1944,0.4169189405,0.4169189405
12.384,12.11,0.4169189405,0.4169189405
12.2615,11.9875,0.3372336188,0.3372336188
12.2655,11.9915,0.3372336188,0.3372336188
12.2291,11.9551,0.8572893845,0.8572893845
12.2362,11.9622,0.8572893845,0.8572893845
12.2824,12.0084,0.8383489344,0.8383489344
12.2612,11.9872,0.8383489344,0.8383489344
12.1941,11.9201,0.3317018521,0.3317018521
12.2165,11.9425,0.3645787692,0.3645787692
12.3407,12.0667,0.8944184425,0.8944184425
12.2323,11.9583,0.3317018521,0.3317018521
12.1996,11.9256,0.3645787692,0.3645787692
12.3621,12.0881,0.8944184425,0.8944184425
12.1669,11.8929,0.847908783,0.847908783
12.251,11.977,0.847908783,0.847908783
12.4277,12.1537,0.8663363871,0.8663363871
12.4378,12.1638,0.8663363871,0.8663363871
12.5649,12.2909,0.1642650866,0.1642650866
12.563,12.289,0.1642650866,0.1642650866
12.2187,11.9447,0.0125771759,0.0125771759
12.1855,11.9115,0.0125771759,0.0125771759
12.0021,11.7281,0.8724208326,0.8724208326
12.2232,11.9492,0.0785202153,0.0785202153
12.2287,11.9547,0.0785202153,0.0785202153
12.0347,11.7607,0.8724208326,0.8724208326
12.1658,11.8918,0.3382692689,0.3382692689
12.2032,11.9292,0.8357000599,0.8357000599
12.1958,11.9218,0.3382692689,0.3382692689
12.1697,11.8957,0.8357000599,0.8357000599
12.2598,11.9858,0.8189603664,0.8189603664
12.2928,12.0188,0.8189603664,0.8189603664
12.2313,11.9573,0.8949063931,0.8949063931
12.2536,11.9796,0.8949063931,0.8949063931
12.3693,12.0953,0.93826429,0.93826429
12.3165,12.0425,0.93826429,0.93826429
12.6621,12.3881,0.2808105955,0.2808105955
12.6374,12.3634,0.2808105955,0.2808105955
12.1017,11.8277,0.2720025891,0.2720025891
12.2064,11.9324,0.2720025891,0.2720025891
12.5435,12.2695,0.306512647,0.306512647
12.4763,12.2023,0.306512647,0.306512647
