"row_id","jd_mid","bmag","plate_id","filename_preview"
"700","2434604.41457","11.0108","7548","LA08024_pre.jpg"
"701","2434604.45266","11.0538","7549","LA08025_pre.jpg"
"702","2434622.38654","11.0387","7552","LA08028_pre.jpg"
"703","2434622.33356","11.092","7550","LA08026_pre.jpg"
"704","2434622.33356","11.0241","7550","LA08026_pre.jpg"
"705","2434622.38654","11.0185","7552","LA08028_pre.jpg"
"706","2434622.43745","11.4492","7554","LA08030_pre.jpg"
"707","2434622.48593","10.9873","7555","LA08031_pre.jpg"
"708","2434622.43745","11.4715","7554","LA08030_pre.jpg"
"709","2434622.48593","11.014","7555","LA08031_pre.jpg"
"710","2434627.34207","11.3459","7565","LA08041_pre.jpg"
"711","2434627.34207","11.3443","7565","LA08041_pre.jpg"
"712","2434627.41756","10.9686","7570","LA08046_pre.jpg"
"713","2434627.41756","11.0099","7570","LA08046_pre.jpg"
"714","2434627.51036","10.8866","7573","LA08049_pre.jpg"
"715","2434627.51036","10.8996","7573","LA08049_pre.jpg"
"716","2434628.33657","10.9195","7576","LA08052_pre.jpg"
"717","2434628.33657","10.9563","7576","LA08052_pre.jpg"
"718","2434628.51681","10.9242","7582","LA08058_pre.jpg"
"719","2434628.43388","10.8891","7580","LA08056_pre.jpg"
"720","2434628.51681","10.8839","7582","LA08058_pre.jpg"
"721","2434628.43388","10.8783","7580","LA08056_pre.jpg"
"722","2434629.32726","11.0183","7585","LA08061_pre.jpg"
"723","2434629.32726","11.0449","7585","LA08061_pre.jpg"
"724","2434629.42526","11.2962","7588","LA08064_pre.jpg"
"725","2434629.48828","10.7498","7590","LA08066_pre.jpg"
"726","2434629.4585","11.0122","7589","LA08065_pre.jpg"
"727","2434629.42526","11.3039","7588","LA08064_pre.jpg"
"728","2434629.4585","11.0194","7589","LA08065_pre.jpg"
"729","2434629.48828","10.7641","7590","LA08066_pre.jpg"
"730","2434631.51883","11.1992","7592","LA08068_pre.jpg"
"731","2434631.51883","11.1984","7592","LA08068_pre.jpg"
"732","2434634.30564","11.3471","7595","LA08071_pre.jpg"
"733","2434634.30564","11.3457","7595","LA08071_pre.jpg"
"734","2434634.49437","10.7753","7602","LA08078_pre.jpg"
"735","2434634.49437","10.783","7602","LA08078_pre.jpg"
"736","2434635.31953","10.8837","7606","LA08082_pre.jpg"
"737","2434635.31953","10.9078","7606","LA08082_pre.jpg"
